,photo_url,direction,obs_id,user_id,altocumulus,altostratus,cirrocumulus,cirrostratus,cirrus,cumulonimbus,cumulus,nimbostratus,stratocumulus,stratus,local_path
0,https://data.globe.gov/system/photos/2025/09/01/4693202/original.jpg,N,116-52378-24905746-202509011903,24905746,0,0,0,0,0,0,0,0,0,0,
1,https://data.globe.gov/system/photos/2025/09/01/4693204/original.jpg,E,116-52378-24905746-202509011903,24905746,0,0,0,0,0,0,0,0,0,0,
2,https://data.globe.gov/system/photos/2025/09/01/4693203/original.jpg,S,116-52378-24905746-202509011903,24905746,0,0,0,0,0,0,0,0,0,0,
3,https://data.globe.gov/system/photos/2025/09/01/4693205/original.jpg,W,116-52378-24905746-202509011903,24905746,0,0,0,0,0,0,0,0,0,0,
4,https://data.globe.gov/system/photos/2025/09/01/4693206/original.jpg,U,116-52378-24905746-202509011903,24905746,0,0,0,0,0,0,0,0,0,0,
5,https://data.globe.gov/system/photos/2025/09/01/4692627/original.jpg,N,116-56227-157134812-202509010845,157134812,0,0,0,0,0,0,1,0,0,0,
6,https://data.globe.gov/system/photos/2025/09/01/4692629/original.jpg,E,116-56227-157134812-202509010845,157134812,0,0,0,0,0,0,1,0,0,0,
7,https://data.globe.gov/system/photos/2025/09/01/4692628/original.jpg,S,116-56227-157134812-202509010845,157134812,0,0,0,0,0,0,1,0,0,0,
8,https://data.globe.gov/system/photos/2025/09/01/4692630/original.jpg,W,116-56227-157134812-202509010845,157134812,0,0,0,0,0,0,1,0,0,0,
9,https://data.globe.gov/system/photos/2025/09/01/4692631/original.jpg,U,116-56227-157134812-202509010845,157134812,0,0,0,0,0,0,1,0,0,0,
10,https://data.globe.gov/system/photos/2025/09/01/4693595/original.jpg,N,116-56701-157134756-202509011126,157134756,0,1,1,1,1,0,0,0,0,0,
11,https://data.globe.gov/system/photos/2025/09/01/4693597/original.jpg,E,116-56701-157134756-202509011126,157134756,0,1,1,1,1,0,0,0,0,0,
12,https://data.globe.gov/system/photos/2025/09/01/4693596/original.jpg,S,116-56701-157134756-202509011126,157134756,0,1,1,1,1,0,0,0,0,0,
13,https://data.globe.gov/system/photos/2025/09/01/4693598/original.jpg,W,116-56701-157134756-202509011126,157134756,0,1,1,1,1,0,0,0,0,0,
14,https://data.globe.gov/system/photos/2025/09/01/4693599/original.jpg,U,116-56701-157134756-202509011126,157134756,0,1,1,1,1,0,0,0,0,0,
15,https://data.globe.gov/system/photos/2025/09/01/4693452/original.jpg,N,116-98652-28787031-202509011809,28787031,0,0,1,0,0,0,1,0,1,0,
16,https://data.globe.gov/system/photos/2025/09/01/4693454/original.jpg,E,116-98652-28787031-202509011809,28787031,0,0,1,0,0,0,1,0,1,0,
17,https://data.globe.gov/system/photos/2025/09/01/4693453/original.jpg,S,116-98652-28787031-202509011809,28787031,0,0,1,0,0,0,1,0,1,0,
18,https://data.globe.gov/system/photos/2025/09/01/4693455/original.jpg,W,116-98652-28787031-202509011809,28787031,0,0,1,0,0,0,1,0,1,0,
